,sid,sid_name,股價,大盤領先指標,產業領先指標,勝率(%)_營收,合理價差(%)_營收,相關性_營收,勝率(%)_EPS,合理價差(%)_EPS,相關性_EPS,勝率(%)_殖利率,合理價差(%)_殖利率,相關性_殖利率,date,耗時(秒)
0,1264,德麥,250,中等,極佳,46,-14,中度相關 0.66,42,-15,高度相關 0.76,,,中度相關 0.64,2022-11-19,86
1,4401,東隆興,26.3,中等,極佳,,,低度相關 0.13,42,-27,中度相關 0.62,40,-28,中度相關 0.61,2022-11-19,84
2,8454,富邦媒,575,中等,極佳,46,-38,中度相關 0.69,42,-31,中度相關 0.52,,,低度相關 0.39,2022-11-19,92
3,2303,聯電,45.6,中等,極佳,46,-28,中度相關 0.6,,,低度相關 0.41,,,低度相關 0.43,2022-11-19,77
4,3189,景碩,116,中等,極佳,46,-31,中度相關 0.61,,,,,,,2022-11-19,84
5,1580,新麥,85,中等,極佳,,,低度相關 0.43,42,-22,高度相關 0.77,40,-26,中度相關 0.61,2022-11-19,72
6,3169,亞信,106.5,中等,極佳,46,-18,高度相關 0.86,42,-40,中度相關 0.51,40,-40,中度相關 0.52,2022-11-19,109
7,2929,淘帝-KY,12.35,中等,極佳,46,-34,中度相關 0.68,,,,,,,2022-11-19,72
8,6488,環球晶,476,中等,極佳,46,-27,中度相關 0.51,,,低度相關 0.13,,,低度相關 0.23,2022-11-19,112
9,5222,全訊,130,中等,極佳,46,-13,中度相關 0.67,,,,,,,2022-11-19,87
10,4558,寶緯,23.1,中等,極佳,46,-22,高度相關 0.8,,,,,,,2022-11-19,89
11,4426,利勤,23.8,中等,極佳,46,-31,中度相關 0.64,,,,46,0,,2022-11-19,70
12,5274,信驊,2170,中等,極佳,46,-19,中度相關 0.72,49,-7,中度相關 0.71,47,-8,高度相關 0.76,2022-11-19,84
13,3426,台興,37.9,中等,極佳,46,-12,低度相關 0.49,49,-8,高度相關 0.86,,,低度相關 0,2022-11-19,84
